id,building,room,days,start_time,end_time
634,SQU,416,R,1030AM,0100PM
635,DLN,1004,TR,0130PM,0245PM
636,TSC,1013,MW,1100AM,0130PM
637,TSC,1013,MW,0200PM,0430PM
638,TSC,1009,MW,0230PM,0500PM
639,TSC,1009,TR,0730AM,1000AM
640,TSC,1009,TR,1030AM,0100PM
641,TSC,1009,TR,0300PM,0530PM
642,SQU,338,TR,1030AM,1145AM
643,TSC,1013,TR,0130PM,0400PM
644,TSC,1013,TR,0730AM,1000AM
645,DLN,1004,TR,0300PM,0415PM
646,SQU,416,M,1000AM,1230PM
647,SQU,418,M,1000AM,1230PM
648,SQU,416,M,0500PM,0730PM
649,SQU,418,M,0500PM,0730PM
650,SQU,416,T,1030AM,0100PM
651,SQU,418,T,1030AM,0100PM
652,SQU,418,T,0730AM,1000AM
653,MND,1005,MWF,0800AM,0850AM
654,SQU,301,MWF,1000AM,1050AM
655,SQU,301,TR,0300PM,0415PM
656,SQU,301,TR,0130PM,0245PM
657,BNC,1025,TR,0300PM,0415PM
658,AMD,263,TR,0300PM,0415PM
659,DLN,1004,MWF,0900AM,0950AM
660,SQU,428,M,1200PM,1250PM
661,SQU,428,M,0100PM,0330PM
662,SQU,428,M,0400PM,0450PM
663,SQU,428,M,0500PM,0730PM
664,SQU,428,W,0100PM,0150PM
665,SQU,428,W,0200PM,0430PM
666,SQU,426,W,1000AM,1050AM
667,SQU,426,W,1100AM,0130PM
668,SQU,426,M,0100PM,0150PM
669,SQU,426,M,0200PM,0430PM
670,SQU,426,W,0200PM,0250PM
671,SQU,426,W,0300PM,0530PM
672,MND,1005,TR,0730AM,0845AM
673,SQU,428,T,0900AM,0950AM
674,SQU,428,T,1000AM,1230PM
675,SQU,426,T,0900AM,0950AM
676,SQU,426,T,1000AM,1230PM
677,SQU,428,T,0100PM,0150PM
678,SQU,428,T,0200PM,0430PM
679,SQU,428,R,0900AM,0950AM
680,SQU,428,R,1000AM,1230PM
681,SQU,426,R,0900AM,0950AM
682,SQU,426,R,1000AM,1230PM
683,SQU,426,R,0100PM,0150PM
684,SQU,426,R,0200PM,0430PM
685,MND,1005,MWF,0100PM,0150PM
686,SQU,426,T,0100PM,0150PM
687,SQU,426,T,0200PM,0430PM
688,SQU,428,R,0100PM,0150PM
689,SQU,428,R,0200PM,0430PM
690,SQU,428,W,0900AM,0950AM
691,SQU,428,W,1000AM,1230PM
692,SQU,428,W,0500PM,0550PM
693,SQU,428,W,0600PM,0830PM
694,SQU,450,W,0500PM,0550PM
695,TSC,1001,MWF,0100PM,0150PM
696,SQU,516,M,0200PM,0250PM
697,SQU,516,M,0300PM,0530PM
698,SQU,516,W,0900AM,0950AM
699,SQU,516,W,1000AM,1230PM
700,SQU,516,W,0200PM,0250PM
701,SQU,516,W,0300PM,0530PM
702,SQU,516,T,0130PM,0220PM
703,SQU,516,T,0230PM,0500PM
704,SQU,456,MWF,1200PM,1250PM
705,SQU,540,M,0900AM,1150AM
706,SQU,456,MWF,0800AM,0850AM
707,SQU,456,MWF,1000AM,1050AM
708,HMB,202,M,0100PM,0150PM
709,SQU,522,MW,0900AM,1150AM
710,SQU,522,M,0200PM,0450PM
711,SQU,522,W,0100PM,0350PM
712,SQU,540,M,0200PM,0450PM
713,SQU,540,W,0100PM,0350PM
714,HMB,202,T,0130PM,0220PM
715,SQU,522,TR,0900AM,1150AM
716,SQU,540,T,0230PM,0520PM
717,SQU,540,R,0130PM,0420PM
718,SQU,540,TR,0900AM,1150AM
719,SQU,301,MW,1100AM,1150AM
720,TSC,2000,MW,0800AM,1030AM
721,TSC,2002,MW,1200PM,0230PM
722,TSC,2000,MW,0230PM,0500PM
723,TSC,2002,TR,0900AM,1130AM
724,TSC,2000,TR,1200PM,0230PM
725,SQU,338,M,1100AM,1150AM
726,SQU,452,MW,0900AM,1040AM
727,SQU,452,MW,0100PM,0240PM
728,SQU,452,TR,0300PM,0440PM
729,SQU,452,TR,1200PM,0140PM
730,SQU,450,MW,1200PM,0115PM
731,TSC,2029,MW,0130PM,0400PM
732,SQU,456,TR,0730AM,0845AM
733,SQU,316,MWF,0800AM,0850AM
734,ALP,205,T,0130PM,0220PM
735,SQU,538,TR,0230PM,0520PM
736,SQU,450,M,0900AM,0950AM
737,SQU,538,M,1000AM,1250PM
738,SQU,538,W,0900AM,1150AM
739,SQU,325,MW,0400PM,0515PM
740,SQU,450,TR,1030AM,1145AM
741,TSC,1005,T,0800AM,0850AM
742,TSC,2033,TR,0900AM,1130AM
743,TSC,1005,R,0130PM,0220PM
744,TSC,2033,R,0230PM,0500PM
745,TSC,2033,T,0200PM,0430PM
746,SQU,443,MWRF,0800AM,0850AM
747,SQU,338,MWF,0900AM,0950AM
748,SQU,456,MWF,0900AM,0950AM
749,SQU,456,TR,0130PM,0245PM
750,SQU,450,T,0800AM,0850AM
751,SQU,550,TR,0900AM,1150AM
752,SQU,450,T,0130PM,0220PM
753,SQU,550,TR,0230PM,0520PM
754,LIB,53,M,0100PM,0150PM
755,SQU,550,W,0100PM,0350PM
756,SQU,550,M,0200PM,0450PM
757,EUR,315,M,0100PM,0150PM
758,SQU,548,MW,0200PM,0450PM
759,MND,1024,T,0900AM,0950AM
760,SQU,548,R,0900AM,1150AM
761,SQU,548,T,1000AM,1250PM
762,SQU,450,F,0300PM,0350PM
763,MND,3013,W,0530PM,0800PM
764,SQU,325,MW,0400PM,0515PM
765,SQU,338,F,0100PM,0240PM
766,MRP,2032,MTWR,1000AM,1050AM
767,AMD,263,MTWR,1200PM,1250PM
768,MRP,2032,MTWR,0900AM,0950AM
769,MRP,1002,TR,0130PM,0245PM
770,RVR,4003,T,0800AM,0940AM
771,TEB,1119,T,1000AM,1250PM
772,TEB,1119,R,1000AM,1250PM
